編號,標題,出處,維度,模組,大師金句,具體故事,善緣陪伴語,原文URL,來源Excel
209,p245　都是一家人,如是說12,D1心靈韌性,M1情緒支持,我十二歲出家做和尚，從當時至今度過一生，都祈願眾人平安幸福。歡迎大家常來，我們都是一家人。,2019年春節，已高齡九十二歲、身體病痛纏身的星雲大師，仍親自在佛光山傳燈樓召見遠從雲南、河南、河北、上海等地前來的237位展演團體成員。那些人有表演者、廚師、傳承非遺技藝的工匠，素昧平生，卻在大師面前像回到家一樣。大師微笑說，他十二歲就出家了，這一生就做了一件事——希望每一個人平安幸福。他沒有區分信徒或外人，只說：「我們都是一家人。」那句話輕輕的，卻讓在場許多人眼眶泛紅。,有時候我們在外地漂泊、在人群中孤單，最渴望的不是建議，而是有人說一句「你不是一個人」。不管你來自哪裡、過去經歷了什麼，此刻你在這裡，我們就是一家人。你的平安和幸福，是真的有人在乎的事。,https://books.masterhsingyun.org/ArticleDetail/artcle21213,人間萬事.xlsx
210,p264　如何化解困難,如是說12,D1心靈韌性,M1情緒支持,我現在雖然眼睛看不見，耳朵聽不清，記憶也不如從前，但並不感到痛苦，只是有點不方便，仍然歡喜與人結緣。,2019年4月，香港中文大學教授陳劍鍠帶著一群企業家來到佛光山，拜會年邁的星雲大師。現場有人問起：「遇到困難的第一個念頭是什麼？」當時的大師，眼睛已看不見，耳朵聽不清楚，記憶也大不如前。但他不疾不徐地說，自己並不感到痛苦，只覺得「有點不方便」——然後話鋒一轉，說他仍然歡喜與人結緣，還邀請陳教授常帶人回山，「這裡是你的家。」一位身處暮年、諸多不便的老人，說出這樣的話，在場所有人都為之動容。,身體的限制、生活的不方便，有時候真的讓人很沮喪。但有個老人家示範了另一種活法——他說，那只是「不方便」，不是痛苦。還是可以開心見人、繼續結緣。你現在遇到的難關，或許也能換個說法：不是過不去，只是暫時不方便。,https://books.masterhsingyun.org/ArticleDetail/artcle21228,人間萬事.xlsx
211,p299　都是一家人,如是說12,D1心靈韌性,M1情緒支持,大家都要感謝這個世界，世界對我們都有功勞的。,2019年8月，九十多歲的星雲大師在佛光山雲居樓，面對來自海內外逾1400名弟子，緩緩說起自己的一生：幼年對父親、外祖母、母親的深深思念從未消散；二十三歲孤身渡海來台，兩手空空，卻蒙台灣信眾一路扶持，才得以紮根、開枝散葉。他說，五十多年前一磚一瓦建起佛光山，心裡只有一個願望——讓每一個走進來的人都感受到：這裡有朋友，這裡有家人。說到最後，他輕輕笑道：「我很樂意幫助大家，有大家就有未來。」那一刻，千人靜默，許多人紅了眼眶。,你有沒有想過，你走到今天，其實有好多人在背後推了你一把？可能是一個陌生人的善意，可能是一座城市給你的機會。大師說：「世界對我們都有功勞的。」試著把心打開，感謝那些你還沒來得及道謝的人，你會發現自己其實從來不是一個人。,https://books.masterhsingyun.org/ArticleDetail/artcle21259,人間萬事.xlsx
212,p336　不畏困難，快樂靠近你,如是說12,D1心靈韌性,M1情緒支持,不畏困難，快樂歡喜就靠近你，祝福大家學佛愉快。,二○一九年十二月，星雲大師的新著《我不是「呷教」的和尚》在金石堂書店年度暢銷榜上，榮登宗教命理類第一名。大師談起這本書時，說的不是榮耀，而是一輩子出家的歷程——幾十年來，他帶領數千位僧眾、在全球建寺辦學，途中風雨從未少過。然而大師始終笑著說：「不畏困難，快樂歡喜就靠近你。」書店協理周宜瑾形容大師的文章「智慧療癒，自讀送人兩相宜」；學者高希均則說，大師一生的言行，本身就是最具體的示範。這本書最終想傳遞的，不是某種高深道理，而是一個走過無數困難的人，用自身經歷告訴讀者：面對難關，只要不退縮，快樂自然會靠近。,遇到困難的時候，很容易覺得快樂離自己很遠。但有位走過幾十年風風雨雨的老人說過一句話讓我很有感：「不畏困難，快樂歡喜就靠近你。」不是困難消失了才快樂，而是你不怕它，快樂就自己走過來了。你現在面對的，也許很重，但你願意撐著走，這本身就很了不起。,https://books.masterhsingyun.org/ArticleDetail/artcle21295,人間萬事.xlsx
213,p355　不生氣要爭氣,如是說,D1心靈韌性,M1情緒支持,面對勝敗不要生氣、要爭氣。生氣不能解決問題，要即時轉正念，才有志氣。,2020年4月，佛光山南華大學棒球隊出賽前夕，總教練、教練與超過三十名球員一同來到大雄寶殿禮佛。星雲大師特別透過慈惠法師轉達勉勵：在球場上要注重策略與方法，更要團結、全力以赴。面對比賽的勝與敗，大師說的不是「輸了沒關係」，而是提醒球員——生氣只會讓人原地打轉，真正有力量的人，是懂得把挫敗的情緒轉化為向上的志氣。這句話，不只是給球員的，更是給每一個曾在人生場上吞下敗仗、心裡憋著一口氣的人。,輸了一場、被否定了一次，心裡那股氣真的很難消。但生氣只會把自己困住，什麼都解決不了。與其讓那口氣悶在心裡，不如把它變成讓自己站起來的力量——不生氣，要爭氣。你值得用更好的方式回應這一切。,https://books.masterhsingyun.org/ArticleDetail/artcle21311,人間萬事.xlsx
214,p368　我們是一家人,如是說12,D1心靈韌性,M3意義重建,「我一生只做一件事，就是做和尚。」「我們是一家人，一切是全民共有的，全民是我們的，我們也是大家的，沒有大家就沒有我。」,二○二○年七月，台北市長柯文哲率隊拜會年近百歲的星雲大師。大師坐在佛光山聚賢堂，平靜地回顧自己的一生：二十三歲從大陸渡海來台，沒有顯赫學歷，卻憑著一份「愛讀書」的心，在陌生的土地紮根六十餘年。他沒有講豐功偉業，只是淡淡說了一句：「一生只做一件事，就是做和尚。」話語樸實，卻讓在場的人都靜了下來。接著，他把眼光從自己身上移開，望向更廣闊的地方說：「沒有大家就沒有我。」一位快百歲的老人，心裡裝的不是自己的成就，而是所有與他同行的人。,你有沒有想過，一個人一輩子只專心做一件事，會是什麼感覺？不是沒有迷惘，而是找到了之後，就不再東張西望。更難得的是，他做著做著，發現自己其實是被大家「托著」走的。你現在的困惑，或許不是方向錯了，而是還沒找到那個「讓你心安定下來的一件事」。,https://books.masterhsingyun.org/ArticleDetail/artcle21323,人間萬事.xlsx
215,p077　工作的待遇,人間萬事,D2人際職場,M3意義重建,現在社會上有一種現象，並非待遇高，工作效率就能提升，有一些拿高薪的人，混世混時，並沒有認真負責，反而一些義工，分文未取，卻是賣力工作，所以不要迷信待遇萬能。,星雲大師觀察現代社會的職場現象：世界上工作的計酬方式千百種——論件、論時、論專業、論才藝、論名氣、論關係，看似五花八門，其實都圍繞著一個核心：付出與回報是否公平。大師舉出姚明靠才藝、李安靠導演功力贏得高薪，卻也點出更深刻的對比——那些分文未取的義工，往往比高薪員工更賣力、更盡責。他說，世界上沒有白吃的午餐，也沒有不勞而獲的事；然而真正讓人動容的，不是薪水多寡，而是那份心甘情願、全力以赴的精神。,有時候我們會覺得，付出那麼多卻得不到對等的回報，真的很不公平。但你有沒有發現，那些做義工的人，一毛錢沒拿，反而做得最起勁？薪水多少固然重要，但讓人真正有力量繼續走下去的，往往是那份「我做這件事是有意義的」感覺。你現在的付出，值得被看見。,https://books.masterhsingyun.org/ArticleDetail/artcle4727,人間萬事.xlsx
216,p106　工作倫理，擁護主管,如是說3,D2人際職場,M2關係修復,為人屬下，心中要有主管、要擁護主管，處事不計名位，且肯接受領導，在團體中才能有序，有序才有人和，人和事業自然順利。溝通之要，無非是要先改變自己，再要求別人。,1999年2月24日，星雲大師在大阪道場與徒眾們進行「師徒時間」。大師談到職場倫理，說身為下屬，心裡要有主管的位置，願意擁護、接受領導，不計較名分高低；這樣團隊才有秩序，有了秩序才有和諧，有了和諧，事情自然水到渠成。他還語重心長地說，想改善關係、促進溝通，第一步不是要求對方改變，而是先從改變自己做起。大師更以一句禪門老話點醒眾人：「要做和尚，先學三年婆娘。」意思是每一種角色都值得用心學習、勇於承擔，唯有把基礎打穩，才能在任何位置上都站得住腳。,在職場上跟主管或同事關係卡卡的，很多時候我們第一個念頭是「他不夠好」。但大師說，溝通的關鍵是先改變自己。不是委屈自己，而是先把自己的姿態放軟一點，關係往往就鬆動了。你願意試試嗎？,https://books.masterhsingyun.org/ArticleDetail/artcle17339,人間萬事.xlsx
217,p248　工作,人間萬事,D2人際職場,M3意義重建,工作是神聖的，勤勞是偉大的，服務是可貴的。,星雲大師在〈工作〉一文中，從一個樸實的觀察出發：連蜜蜂、螞蟻都因勤於工作而被人稱道，更何況是人。他提到，有人剛接到一項工作，還沒看到任何成果，便急著添置設備、要求配車配室，浪費無度，這樣的心態根本還沒站穩工作的起點。大師也說，真正有承擔力的人，工作難度再高都能想辦法克服——不是因為條件好，而是因為肯負責、敢擔當，走到哪裡都能受人重用。他更強調，工作的意義不在於每天施捨做功德，而是讓自己一週、一月、一年都看得見真實的成長，那種踏實的進步，才是工作給人最大的信心與力量。,有時候覺得工作好累、好無意義？大師說，工作本來就是神聖的事，不是用來敷衍的。試著把它當成一個讓自己真實成長的舞台——不是為了別人的眼光，而是為了一年後回頭看，你能看見一個更有力量的自己。,https://books.masterhsingyun.org/ArticleDetail/artcle4308,人間萬事.xlsx
218,p265　工作之道,如是說2,D2人際職場,M3意義重建,凡事欲速則不達；也不宜太緩，以免耽誤時效，不緩不急的做事方式才合乎中道。一份勝任的工作，要抱著投師學藝的吃苦精神，肯吃苦、肯奉獻、肯發心。,1997年1月10日，星雲大師從早上九點開始，為台視《星雲說喻》節目錄影，一路錄到下午四點，一口氣完成了六十集。在其中一集裡，他談到了「工作之道」。大師說，現代社會的事情都是靠眾人合力完成的，但做事要按部就班、依計畫推進——太急了欲速則不達，太慢了又會耽誤時效，唯有不緩不急，才是真正的中道。他也提醒：想要勝任一份工作，要有「投師學藝」的心態，甘願吃苦、樂於奉獻、主動發心，一旦具備這些條件，自然能夠得心應手。,工作卡關的時候，有時候不是能力不夠，而是節奏跑掉了——太焦急反而出錯，太鬆散又錯過時機。大師說得好：不緩不急，才能真正把事情做好。而且，願意吃苦、願意付出的人，慢慢地就會發現自己愈來愈上手。你現在的狀態，是太急、太緩，還是剛剛好呢？,https://books.masterhsingyun.org/ArticleDetail/artcle17144,人間萬事.xlsx
219,p107　換心不要換工作,如是說3,D2人際職場,M3意義重建,對環境不適、工作不如意，主要在「換心」，而非換服務單位。凡事要依自己的所長來表現，工作時要研究如何去突破、進步，不是去研究人我是非。,1999年3月1日晚上，星雲大師與一群申請調職的弟子們圍坐在一起，進行「師徒時間」。這些弟子或覺得環境不順，或感到工作不如意，紛紛希望換個地方重新開始。大師沒有責備，而是靜靜地說：世俗的快樂是一種「比較性」的快樂，換了地方，心沒有換，同樣的委屈和不滿還是會跟著來。真正的快樂，是從替人服務中得到的——服務，才是快樂的根本。他說，工作的意義不在於誰高誰低、誰大誰小，而在於你是否拿出了自己的所長，是否在每一天都想著如何突破和進步，而不是把心思花在計較人與人之間的是非上。,覺得工作做不下去，好想換個地方重新來過？大師說，換環境不如「換心」——帶著同一顆容易不滿足的心，去哪裡都一樣。真正讓人快樂的，是把重心放在「我能為這裡做什麼」，而不是「這裡哪裡讓我不舒服」。試試看，從一件小事開始發揮你的強項？,https://books.masterhsingyun.org/ArticleDetail/artcle17340,人間萬事.xlsx
220,p171　發心在工作上很重要,如是說3,D1心靈韌性,M3意義重建,萬法唯「心」，要從心中流露出功德，一定要具有開闊的心胸，才能發展未來的前途。,1999年6月5日，星雲大師與服務於佛光衛視（今人間衛視）的弟子們進行接心談話。那是一個媒體剛起步的年代，電視製作繁瑣複雜，年輕的工作者面對龐雜事務，容易迷失在細節裡。大師語重心長地說，電視雖然是複雜的行業，但做事要單純化，最重要的是「用心、發心」。他要求節目必須具備知識性、可看性、啟發性、教育性，讓每一位觀眾看完都能有所收穫。最後，大師以一句話點出根本：心若開闊，才有前途。這句話不只是給媒體工作者，更是給所有在工作中感到迷茫的人——回到初心，才是出路。,工作做久了，有時候會忘記當初為什麼要做這件事。大師說「做事要單純化，用心、發心最重要」——不是把事情做完就好，而是帶著真心去做。當你的心是開闊的，眼前的困難反而會變小，路也會慢慢變寬。你現在的工作，有沒有那個讓你想認真的理由呢？,https://books.masterhsingyun.org/ArticleDetail/artcle17540,人間萬事.xlsx
221,p254　藝術是真善美的工作,如是說7,D1心靈韌性,M3意義重建,表面上各位捨去了賺錢的時間，來做無償的工作，若能真正認識，人生的意義就在其中。真正的便宜，是心中的歡喜，及透過工作而不斷擴大、昇華的境界。,2011年1月，星雲大師在佛光山傳燈樓，對一群美術館義工說話。這些人放棄賺錢的機會，默默地做著沒有報酬的工作，難免覺得寂寞。大師沒有急著給他們打氣，而是直接說：「也許你們看起來吃虧，但學習吃虧本來就是這條路的一部分。」有義工問：「那人生的價值在哪裡？」大師說：「在每個人的心中，只要感到有意義，那就是價值所在。」又有人說溝通很難，大師答：「貴乎彼此有共識，有共識，才能真正合在一起。」那天，沒有掌聲，沒有儀式，只有一群人在安靜中，重新理解自己正在做的事。,有時候你付出很多，卻沒有人看見，甚至覺得自己在虧本。但大師說，真正的「便宜」是心裡的那份歡喜。當你做一件有意義的事，那個意義本身就是收穫，不需要別人來換算給你聽。你覺得這件事有意義嗎？,https://books.masterhsingyun.org/ArticleDetail/artcle18763,人間萬事.xlsx
222,p124　在工作中找到歡喜,如是說6,D1心靈韌性,M1情緒支持,日日懷抱希望，才能在工作中找到歡喜。,2008年1月22日深夜，星雲大師親自走進佛光緣美術館總館巡視展場。那裡的徒眾，正默默耕耘一部龐大的《世界佛教美術圖說大辭典》，這是一件動輒耗費數年、甚至跨越世代的浩大工程。大師站在他們面前，沒有給壓力，也沒有催進度，只是輕聲說：「大家都在為佛光山寫歷史，是百年大業，耐得住，未來必有成就。日日懷抱希望，才能在工作中找到歡喜。」寥寥數語，卻像一盞燈，點亮了那些在漫長工作裡感到疲憊、看不見終點的心。,有時候工作做久了，真的會忘記當初為什麼開始。大師說得好：「日日懷抱希望，才能在工作中找到歡喜。」不是每天都要有大成果，而是心裡還有那一點點期待，就夠了。你現在做的事，也許是一件比你想像中更長遠的事，撐住，慢慢會看見的。,https://books.masterhsingyun.org/ArticleDetail/artcle18401,人間萬事.xlsx
223,p256　在第一寺工作真有福報,如是說9,D1心靈韌性,M3意義重建,我們雖是小人物，但我們能為中國文化做出貢獻……能有機會在第一寺工作，與眾結緣，真有福報。,2013年10月，宜興大覺寺正籌備藏經樓的義賣活動。星雲大師召集負責的弟子，語重心長地說：這次義賣不是做買賣，是把東西的「價值」用在文化傳承上。他說，大覺寺未來會是第一寺，大家要珍惜這個機緣。說完，他細細叮嚀：接待的人要彎腰、要合掌、臉上要有微笑、口裡要多讚美——這些看似微小的動作，在他眼中都是在累積功德、在跟每一個來訪的人結下善緣。他用「買賣是價格，布施是價值」這句話，讓弟子們明白：平凡的崗位，只要用心，就能做出不凡的意義。,你有沒有想過，你現在做的事，其實比你以為的更有意義？有時候不是位置不夠好，而是我們還沒發現自己正站在一個很重要的地方。彎腰、微笑、多說一句好話——這些小事，都是在跟這個世界好好相處。你願意用心做的每一件事，都有它的價值。,https://books.masterhsingyun.org/ArticleDetail/artcle19964,人間萬事.xlsx
224,p120　工作應有的觀念與態度,如是說2,D2人際職場,M1情緒支持,「要學習出巧妙來、服務出慈悲來、相處出尊重來、體會出無間來（合作無間）。工作環境的好壞，都是自己修行的道場，也是培養慈悲的地方；人與人相處要『同中求異，異中存同』。」,1993年夏天，星雲大師在佛光山麻竹園祇園廳，與一群剛完成實習的佛學院結業生展開了一場長達一天半的座談。這些年輕人帶著在各單位實習時積累的困惑與委屈前來——有人覺得主管不好相處，有人在職場倫理中找不到自己的位置，有人因為一句話就跌入低落。大師沒有說教，而是一個問題一個問題地陪他們拆解。他問大家：「一年中，你發了多少牢騷？對生活有多少不歡喜？」這個問題讓許多人沉默。大師接著說，「偉大」的背後要付出多少代價、辛酸、血淚——不要因為一句話、一件事而鬧情緒、頹喪，要有愈挫愈勇的擔當。座談結束時，許多人說，那些糾結已久的困惑，竟在那一天半裡慢慢鬆開了。,工作裡難免遇到不順心——覺得被誤解、被忽視，或是一句話就讓心情盪到谷底。其實每個讓你煩的人、每件讓你卡關的事，都是讓你更了解自己的機會。試著問問自己：這一年，我發了多少牢騷？那些牢騷背後，真正在意的是什麼？找到那個答案，你會更靠近自己想成為的樣子。,https://books.masterhsingyun.org/ArticleDetail/artcle17066,人間萬事.xlsx
225,p370　對工作要敬業、歡喜,如是說9,D1心靈韌性,M3意義重建,人要有敬業的精神，對於自己所從事的行業要很喜歡。像我做為一名和尚，在大陸看不起「和尚」的情況下，還能讓全世界的人都看得起我，就是因為我一心都想「把和尚做好」。,2014年春節期間，浙江婺劇團二十九位演員專程到佛陀紀念館駐館表演。星雲大師特別前去會見他們，親切地說：你們把表演帶給大家，帶來了歡喜，這正是我最珍視的事。大師接著分享自己的親身經歷——當年在中國大陸，「和尚」二字常被人輕視，許多人對出家人抱著偏見與嘲諷。但大師從未因此動搖，始終只有一個念頭：把和尚這份「工作」做到最好。幾十年後，他走遍全球，讓無數人對出家人刮目相看。那份改變，不是來自外在環境的配合，而是來自他對自己所選擇之路，從未放棄的熱愛與敬重。,不管別人怎麼看你的工作，只要你自己打從心底喜歡它、認真對待它，就能做出讓人刮目相看的成績。大師當年在旁人輕視的目光下，靠著「把自己的事做好」這一個念頭，走出了一條誰都料想不到的路。你現在做的事，也值得被你這樣認真對待。,https://books.masterhsingyun.org/ArticleDetail/artcle20062,人間萬事.xlsx
226,p276　編輯工作，續文化慧命,如是說,D1心靈韌性,M3意義重建,文化是眾生的慧命，有了大家的努力，才能呈現文化的歷史，大家的努力很有價值。,2019年6月，《星雲大師全集》簡體版終於完成，超過八十位編輯、校稿、排版、印刷的工作人員，千里迢迢來到宜興大覺寺參訪。這群人日以繼夜，字斟句酌，為的是讓文字跨越地域流傳下去。大師親自與他們會面、合影，深深鞠躬道謝。他說，文化是人類共同的慧命，正因為每一個人默默付出，歷史才得以被看見、被記憶。那一天，許多工作人員紅了眼眶——原來，自己手中那枚小小的校對印章，也是在延續一條綿長的文化命脈。,你有沒有覺得，自己做的事情太微小、不重要？大師說，正是每個人認真付出，歷史才得以留存。你現在做的事，不管多小，都在為某件更大的東西添磚加瓦。你的努力，真的很有價值。,https://books.masterhsingyun.org/ArticleDetail/artcle21238,人間萬事.xlsx
227,p177　工作熱忱,星雲禪話5,D1心靈韌性,M3意義重建,你為了將熱騰騰的包子送過來，身上還穿著沾滿麵粉的工作服，我敬重你這樣的工作熱忱及供養心，所以我也要穿上我的福田衣來接受，這樣施與受才能對等，否則我受之有愧啊！,日本禪師仙崖義梵有個賣包子的信徒山口大本，某天一大早，山口先生穿著沾滿麵粉的工作服，氣喘吁吁地提著剛出爐的熱包子跑到寺院。仙崖禪師聽見呼喊聲出來迎接，卻轉身回去換上整齊的法衣，才鄭重地用雙手接過包子。山口先生摸著頭，不好意思地說不過是幾個包子，哪敢勞駕禪師盛裝相迎。禪師卻說：你穿著工作服帶著熱忱趕來，我怎能隨便接受？施與受，都要對等，才不辜負彼此的心意。一個賣包子的平凡人，一個穿著法衣的禪師，兩人在寺院門口完成了一場最樸實也最莊重的交換。,你有沒有這種感覺——認真做一件事，卻覺得沒人在乎？其實，你投入的樣子本身就很有力量。就像一個賣包子的人穿著沾滿麵粉的衣服跑來，那份熱忱讓人忍不住肅然起敬。你每天認真過生活，這件事本身，就值得被好好對待。,https://books.masterhsingyun.org/ArticleDetail/artcle7169,人間萬事.xlsx
228,p242　做人、為學要立志發心,如是說9,D1心靈韌性,M3意義重建,志不立，一事無成；心不發，也是徒勞。,2013年9月20日，高雄大學、義守大學共15位學生專程上山參訪佛光山。大師在法堂親自接見這群年輕人，他看著眼前一張張青澀卻充滿期待的臉，語重心長地說：人生就像在茫茫大海中航行，方向比速度更重要。他要學生們想清楚：你想去哪裡？你為什麼出發？大師說，光有夢想不夠，還要有計畫、有行動；志向若不確立，再努力也像無舵的船，飄來飄去；內心若不真正燃起那股勁，所有的付出終究只是表面功夫。他勉勵年輕人，選擇一個值得投入的方向，讓自己的生命發出真正的光。,你現在感覺迷茫，其實不是因為能力不夠，而是還沒找到那個讓你真正想拚的方向。方向一旦清楚了，做什麼都會有力氣。先問問自己：什麼事情讓你覺得「這值得」？從那裡開始就好。,https://books.masterhsingyun.org/ArticleDetail/artcle19951,人間萬事.xlsx
229,p313　做人七品,人間萬事,D2人際職場,M1情緒支持,一個人沒有金錢、沒有地位，都不是什麼大不了的事，但是一個人如果失去了信用，即使賺了大錢，那也是一時的，往後就是花上千金也買不回來。,星雲大師在〈做人七品〉裡，把人生所需的品格比喻成各種「品」——禮貌是必需品、信用是不可踩的禁區、耐煩是成大事的基本功。他特別舉出「不耐煩是半成品」的例子：有人和別人講話講到一半就不耐煩，關係因此出現嫌隙；有人做事做到一半就放棄，結果功虧一簣；有人只是忍不住一口氣，多年的努力就此付諸流水。這些看似小事，卻是最真實的人生場景——往往不是外在條件不夠，而是差那麼一口氣、少那麼一點耐心，讓一切功敗垂成。,你有沒有過這種感覺——不是能力不夠，只是當下那口氣沒忍住，後來想想特別懊悔？其實很多人都這樣。大師說耐煩才能勝任大事，但耐煩不是天生的，是一點一點練出來的。下次卡關的時候，不妨先深呼吸，告訴自己：再撐一下，不急。,https://books.masterhsingyun.org/ArticleDetail/artcle5491,人間萬事.xlsx
230,p292　做人的修養,星雲說偈2,D2人際職場,M2關係修復,君子不念舊惡，常生善心，心無怨怪，處處感恩，這就是做人的基本修為了！,東村和西村兩戶人家，本來交情很好，後來因為一個小誤會，從此老死不相往來，仇恨愈結愈深。奇妙的是，兩家的狗卻還是每天自顧自地穿梭往來，一點都不受人的恩怨影響。兩家人注意到這件事，都感到深深慚愧——我們做人的情義，竟然比不上一條狗。狗還記得舊情，每天照常來往；人卻死守著仇恨，忘了當年的好。就是這樣一幕小小的景象，讓兩家人放下了心裡的結，重新言歸於好。,你有沒有這樣的經驗——對方給你的好，一下子就忘了，但那個傷，卻一直記著？其實我們都這樣。試著想想，對方曾經給你的一句暖心話、一個微笑，那些都不是理所當然的。先從記住那些好開始，心裡會慢慢鬆動的。,https://books.masterhsingyun.org/ArticleDetail/artcle13378,人間萬事.xlsx
231,p032　說好話,人間萬事,D2人際職場,M2關係修復,說好話讚美人，也要適當、得體，而且要恰如其分的針對他的特長而說。說好話需要智慧，更要真誠，才能發揮好話的正面力量。,星雲大師在〈說好話〉裡，用了十五個真實生活場景來示範「好話」的樣子：有人看見陳老先生在社區掃街，便說「他真是把大眾的事都看成是自己的事」；有人看見蔣科長談吐幽默，便說「和他在一起，如沐春風」；有人看見鄭老師說話溫柔，便說「就像冬陽春風，讓人感到溫暖、舒服」。這些話不是空洞的客套，而是針對對方真實的行為與特質，具體地說出來。大師提醒：讚美要恰如其分，若讚美不當，反讓對方覺得是諷刺，就適得其反了。好話的力量，在於真誠，也在於智慧。,你有沒有想過，一句真心的稱讚，可以改變一個人的一天？不用很華麗，就針對他真正做到的事說出來——「你這樣做很不容易」「你說話讓人很舒服」——這樣簡單的話，往往比千言萬語更有力量。試著今天對身邊一個人說一句真心話吧。,https://books.masterhsingyun.org/ArticleDetail/artcle4710,人間萬事.xlsx
232,p404　做人要懂得轉身,如是說2,D1心靈韌性,M1情緒支持,「『放不下』，是不知空無的境界，人生的聚會只是偶然，不要在偶然的短暫交會上『放不下』。尤其不要在人事上太多的執著，要懂得轉身。」,1998年8月，一百多位從新加坡、香港專程回山參加「短期出家修道會」的學員，在結業出堂後，星雲大師特地留下來與大家座談。現場有位信徒直接開口問：「放不下，怎麼辦？」大師沒有長篇大論，而是輕描淡寫地說：人生的相遇，本來就只是偶然的短暫交會，我們卻常常把這份偶然當成永恆，緊緊抓住不肯鬆手。他說，真正的功夫不是硬撐著放下，而是懂得「轉身」——不是逃避，而是換一個方向繼續走。那一句「人生的聚會只是偶然」，讓許多人當場紅了眼眶，又感到一陣輕鬆。,有些事，我們之所以放不下，是因為太想讓它變成永恆。但很多相遇，本來就只是人生路上的偶然交會。放不下的時候，不妨試著「轉身」——不是假裝沒事，而是讓自己的眼睛，重新看見前方還有路。,https://books.masterhsingyun.org/ArticleDetail/artcle17223,人間萬事.xlsx
233,p294　做人,詩歌人間,D1心靈韌性,M3意義重建,做人，要像一支蠟燭，燃燒自己，卻在黑暗中照亮別人。,星雲大師在這首詩裡，用四個生活中最平凡的器物，勾勒出他心目中理想的人生姿態：一面鏡子，不只照見別人的好，也誠實映出自己的不足；一本簿子，把每天的得失一筆一筆記下來，讓自己有所警醒；一支蠟燭，燃盡了自己，卻把黑暗裡的路照亮給旁人；一個時鐘，滴答滴答，分秒都不白過。大師最後寫道：「我空空而來，也將空空的走。」這不是悲觀，而是一種通透——知道帶不走什麼，反而更願意在當下，把自己的光與熱，好好地給出去。,有時候我們會問，這樣努力到底值不值得？大師說，蠟燭燃燒自己，卻照亮了別人——那份光，就是意義本身。不是每件事都要有回報，有些付出，就是讓你知道自己活得有重量。你最近有沒有哪個瞬間，覺得自己是那根點著的蠟燭呢？,https://books.masterhsingyun.org/ArticleDetail/artcle22509,人間萬事.xlsx
234,p330　正派做人,如是說6,D1心靈韌性,M3意義重建,欲為佛門龍象，先做眾生馬牛。,2009年6月28日，星雲大師應邀出席叢林學院畢業典禮，面對即將踏入社會的學生，他沒有高談理想，而是說了四句樸實的話。他說，一個人要讓別人接受你，才會有立足之地；要懂得反省慚愧，才能產生奮發的力量；做人做事要走正道，因為「正」是一切的根本。最後他引用一句老話：「欲為佛門龍象，先做眾生馬牛。」意思是，想成為受人尊敬的人，就得先甘願為大眾服務、默默付出。不懂奉獻的人，終究會被社會淘汰；懂得奉獻的人，才能真正充實自己的人生。,想在這個世界站穩腳跟，靠的不是頭銜或學歷，而是你願意為身邊的人付出多少。那些默默服務、踏實做事的人，往往最後走得最遠。你現在覺得累，也許是因為還沒找到那個「值得為它付出」的方向——找到了，就不一樣了。,https://books.masterhsingyun.org/ArticleDetail/artcle18546,人間萬事.xlsx
235,p053　養生四法,人間萬事,D1心靈韌性,M3意義重建,真能懂得淡中之味，才能知道真味。,戰國時代有個叫顏斶的隱士，齊宣王想以高官厚祿留住他，他卻婉拒了。顏斶說：「晚食以當肉，安步以當車。」意思是：肚子餓了再吃，什麼都是美味；用走路代替坐車，一樣怡然自得。他不靠豐盛的物質，而是靠放慢腳步、細細品味生活，找到了真正的滿足。星雲大師引用這個故事，說明飲食不在多鹹多甜，而在「淡中之味」——清淡的飲食，才是健康之道；慢下來細嚼，才能嚐出每一口的真滋味。這種「少一點、慢一點」的智慧，不只是養生，更是一種對生命的態度。,生活節奏好快，常常還沒嚐到味道就吞下去了。其實「淡中之味」才是真味——吃清淡一點、慢下來一點，身體會謝謝你，心也會跟著靜下來。不用追求什麼大補大養，把日常過得簡單踏實，反而是最好的照顧自己。,https://books.masterhsingyun.org/ArticleDetail/artcle5518,人間萬事.xlsx
236,p261　大學之道在做人,如是說2,D1心靈韌性,M3意義重建,大學教育應該重視人格教育的加強，也就是生活教育的注重，因為一個人學問有多少，外表是看不出來的，但是禮貌、威儀、談吐、進退、感恩、孝敬、榮譽、責任等，在和人接觸時就可以感受得到。,1997年1月5日清晨，星雲大師出席佛光大學董事會，面對台上台下一群懷抱教育理想的老師與行政人員，他沒有先談課程規劃，也沒有談招生數字，而是直接說了一句讓全場靜下來的話：「一個人學問有多少，外表是看不出來的。」他說，真正能讓人感受到的，是你走進一個房間時的態度，是你開口說話時的分寸，是你面對長輩時的眼神。那些寫在成績單上的分數，不會跟著你走進每一段關係裡；但你待人的溫度，卻會在別人心裡留下印記。大師接著建議學校派教授走入社區、走進青年的生活，讓學問不只關在校園裡，而是透過真實的人與人連結，才能讓教育真正落地生根。,成績、學歷，別人看不到；但你說話的方式、對人的態度，大家都感受得到。真正的「厲害」，不是考試考得好，而是讓身邊的人覺得跟你在一起很舒服、很安心。這種能力，從來不是天生的，是一點一點在生活裡練出來的。,https://books.masterhsingyun.org/ArticleDetail/artcle17141,人間萬事.xlsx
